,Baths,Beds,Location,Square Meter,base_price,city,country,page,price_usd,property_type,sub_div,Longitude,Latitude
2,4,5,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",391,8400000,Cairo,Egypt,buy,132132000.0,Villa,New Cairo City,30.06310285,31.455447475107487
4,2,2,"Century City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",100,1425000,Cairo,Egypt,buy,22415250.0,Apartment,New Cairo City,30.06310285,31.455447475107487
5,7,6,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",500,11900000,Cairo,Egypt,buy,187187000.0,Villa,New Cairo City,30.06310285,31.455447475107487
6,3,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",305,3250000,Cairo,Egypt,buy,51122500.0,iVilla,New Cairo City,30.06310285,31.455447475107487
8,7,6,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",640,13500000,Cairo,Egypt,buy,212355000.0,Villa,New Cairo City,30.06310285,31.455447475107487
9,4,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",360,6000000,Cairo,Egypt,buy,94380000.0,Twin House,New Cairo City,30.06310285,31.455447475107487
10,4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",450,6255000,Cairo,Egypt,buy,98391150.0,Villa,New Cairo City,30.06310285,31.455447475107487
12,7+,7+,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",560,15000000,Cairo,Egypt,buy,235950000.0,Villa,New Cairo City,30.02012785,31.498220627134504
13,7,6,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",500,12000000,Cairo,Egypt,buy,188760000.0,Villa,New Cairo City,30.06310285,31.455447475107487
14,3,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",243,2750000,Cairo,Egypt,buy,43257500.0,iVilla,New Cairo City,30.06310285,31.455447475107487
15,3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",186,3600000,Cairo,Egypt,buy,56628000.0,Apartment,New Cairo City,30.06310285,31.455447475107487
16,2,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",166,1840000,Cairo,Egypt,buy,28943200.0,Penthouse,New Cairo City,30.06310285,31.455447475107487
17,3,3,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",185,290000,Cairo,Egypt,buy,4561700.0,Apartment,New Cairo City,30.06310285,31.455447475107487
18,4,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",204,10738888,Cairo,Egypt,buy,168922708.24,Townhouse,New Cairo City,30.06310285,31.455447475107487
19,2,2,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",133,1380000,Cairo,Egypt,buy,21707400.0,Apartment,New Cairo City,30.06310285,31.455447475107487
20,5,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",356,8000000,Cairo,Egypt,buy,125840000.0,Villa,New Cairo City,30.06310285,31.455447475107487
21,3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",360,4950000,Cairo,Egypt,buy,77863500.0,Townhouse,New Cairo City,30.06310285,31.455447475107487
22,4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",335,6868000,Cairo,Egypt,buy,108033640.0,Twin House,New Cairo City,30.06310285,31.455447475107487
23,3,3,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",197,4000000,Cairo,Egypt,buy,62920000.0,Townhouse,New Cairo City,30.06310285,31.455447475107487
24,4,4,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",307,6600000,Cairo,Egypt,buy,103818000.0,Townhouse,New Cairo City,30.06310285,31.455447475107487
25,4,5,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",301,4900000,Cairo,Egypt,buy,77077000.0,Duplex,New Cairo City,30.06310285,31.455447475107487
26,2,2,"Al Riyadh Secon, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",120,2049000,Cairo,Egypt,buy,32230770.0,Apartment,New Cairo City,30.06310285,31.455447475107487
29,3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",186,3250000,Cairo,Egypt,buy,51122500.0,Apartment,New Cairo City,30.06310285,31.455447475107487
30,4,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",360,5500000,Cairo,Egypt,buy,86515000.0,Townhouse,New Cairo City,30.06310285,31.455447475107487
31,4,4,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",311,5700000,Cairo,Egypt,buy,89661000.0,Townhouse,New Cairo City,30.06310285,31.455447475107487
32,7,6,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",630,17250000,Cairo,Egypt,buy,271342500.0,Villa,New Cairo City,30.02012785,31.498220627134504
33,4,3,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",302,3800000,Cairo,Egypt,buy,59774000.0,Duplex,New Cairo City,30.06310285,31.455447475107487
34,6,6,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",620,13000000,Cairo,Egypt,buy,204490000.0,Villa,New Cairo City,30.02012785,31.498220627134504
35,2,3,"El Narges Buildings, Al Narges, New Cairo City, Cairo",205,1850000,Cairo,Egypt,buy,29100500.0,Apartment,New Cairo City,30.02012785,31.498220627134504
36,4,4,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",236,2200000,Cairo,Egypt,buy,34606000.0,Apartment,New Cairo City,30.06310285,31.455447475107487
39,3,4,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",287,3200000,Cairo,Egypt,buy,50336000.0,iVilla,New Cairo City,30.06310285,31.455447475107487
40,4,4,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",220,3500000,Cairo,Egypt,buy,55055000.0,Penthouse,New Cairo City,30.06310285,31.455447475107487
41,5,5,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",440,8000000,Cairo,Egypt,buy,125840000.0,Villa,New Cairo City,30.06310285,31.455447475107487
