Baths,Beds,Location,Square Meter,base_price,city,country,page,property_type,sub_div
6,5,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",360,9800000, Cairo,Egypt,buy,Villa, New Cairo City
4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",407,9000000, Cairo,Egypt,buy,Villa, New Cairo City
3,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",280,5600000, Cairo,Egypt,buy,Townhouse, New Cairo City
2,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",166,1850000, Cairo,Egypt,buy,Penthouse, New Cairo City
3,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",356,9500000, Cairo,Egypt,buy,Villa, New Cairo City
3,3,"El Yasmeen 8, El Yasmeen, New Cairo City, Cairo",200,2200000, Cairo,Egypt,buy,Apartment, New Cairo City
3,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",300,3000000, Cairo,Egypt,buy,iVilla, New Cairo City
5,6,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",640,10000000, Cairo,Egypt,buy,Villa, New Cairo City
4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",280,5400000, Cairo,Egypt,buy,Townhouse, New Cairo City
5,5,"Swan Lake, Qesm Ad Dabaah, North Coast",500,8500000, North Coast,Egypt,buy,Villa, Qesm Ad Dabaah
3,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",323,6400000, Cairo,Egypt,buy,Twin House, New Cairo City
4,5,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",500,11800000, Cairo,Egypt,buy,Villa, New Cairo City
3,2,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",133,1380000, Cairo,Egypt,buy,Apartment, New Cairo City
3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",200,3950000, Cairo,Egypt,buy,Apartment, New Cairo City
2,2,"Mangroovy Residence, Al Gouna, Hurghada, Red Sea",117,3350000, Red Sea,Egypt,buy,Apartment, Hurghada
5,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",355,6700000, Cairo,Egypt,buy,Twin House, New Cairo City
4,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",229,5900000, Cairo,Egypt,buy,Twin House, New Cairo City
4,5,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",300,1500000, Cairo,Egypt,buy,iVilla, New Cairo City
4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",265,10000000, Cairo,Egypt,buy,Villa, New Cairo City
6,5,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",307,6500000, Cairo,Egypt,buy,Townhouse, New Cairo City
5,5,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",500,13500000, Cairo,Egypt,buy,Villa, New Cairo City
3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",280,5650000, Cairo,Egypt,buy,Townhouse, New Cairo City
