Baths,Beds,Location,Square Meter,base_price,city,country,page,price_usd,property_type,sub_div,lat,lon
2,2,"Baymount, Al Ain Al Sokhna, Suez",105,1200000, Suez,Egypt,buy,18876000.0,Chalet, Al Ain Al Sokhna,30.0742818,31.54437395381909
2,2,"Aroma Residence, Al Ain Al Sokhna, Suez",95,1550000, Suez,Egypt,buy,24381500.0,Chalet, Al Ain Al Sokhna,30.0742818,31.54437395381909
4,4,"The Courtyards, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",286,4750000, Giza,Egypt,buy,74717500.0,Townhouse, Sheikh Zayed City,30.048347,30.9832235
4,5,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",391,8400000, Cairo,Egypt,buy,132132000.0,Villa, New Cairo City,30.06310285,31.45544747510749
2,3,"IL Monte Galala, Al Ain Al Sokhna, Suez",119,2900000, Suez,Egypt,buy,45617000.0,Chalet, Al Ain Al Sokhna,30.0742818,31.54437395381909
2,3,"Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",165,4151000, Giza,Egypt,buy,65295230.0,Apartment, Sheikh Zayed City,30.048347,30.9832235
2,2,"Century City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",100,1425000, Cairo,Egypt,buy,22415250.0,Apartment, New Cairo City,30.06310285,31.45544747510749
7,6,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",500,11900000, Cairo,Egypt,buy,187187000.0,Villa, New Cairo City,30.06310285,31.45544747510749
3,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",305,3250000, Cairo,Egypt,buy,51122500.0,iVilla, New Cairo City,30.06310285,31.45544747510749
3,3,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",183,3650000, Giza,Egypt,buy,57414500.0,Apartment, 6 October City,30.1176285,31.367206
7,6,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",640,13500000, Cairo,Egypt,buy,212355000.0,Villa, New Cairo City,30.06310285,31.45544747510749
4,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",360,6000000, Cairo,Egypt,buy,94380000.0,Twin House, New Cairo City,30.06310285,31.45544747510749
4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",450,6255000, Cairo,Egypt,buy,98391150.0,Villa, New Cairo City,30.06310285,31.45544747510749
3,3,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",232,1633000, Giza,Egypt,buy,25687090.0,Penthouse, 6 October City,30.1176285,31.367206
7+,7+,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",560,15000000, Cairo,Egypt,buy,235950000.0,Villa, New Cairo City,30.02012785,31.498220627134504
7,6,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",500,12000000, Cairo,Egypt,buy,188760000.0,Villa, New Cairo City,30.06310285,31.45544747510749
3,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",243,2750000, Cairo,Egypt,buy,43257500.0,iVilla, New Cairo City,30.06310285,31.45544747510749
3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",186,3600000, Cairo,Egypt,buy,56628000.0,Apartment, New Cairo City,30.06310285,31.45544747510749
2,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",166,1840000, Cairo,Egypt,buy,28943200.0,Penthouse, New Cairo City,30.06310285,31.45544747510749
3,3,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",185,290000, Cairo,Egypt,buy,4561700.0,Apartment, New Cairo City,30.06310285,31.45544747510749
4,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",204,10738888, Cairo,Egypt,buy,168922708.24,Townhouse, New Cairo City,30.06310285,31.45544747510749
4,5,"Badya Palm Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",265,6041000, Giza,Egypt,buy,95024930.0,Villa, Sheikh Zayed City,30.048347,30.9832235
2,2,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",133,1380000, Cairo,Egypt,buy,21707400.0,Apartment, New Cairo City,30.06310285,31.45544747510749
5,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",356,8000000, Cairo,Egypt,buy,125840000.0,Villa, New Cairo City,30.06310285,31.45544747510749
3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",360,4950000, Cairo,Egypt,buy,77863500.0,Townhouse, New Cairo City,30.06310285,31.45544747510749
4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",335,6868000, Cairo,Egypt,buy,108033640.0,Twin House, New Cairo City,30.06310285,31.45544747510749
3,3,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",197,4000000, Cairo,Egypt,buy,62920000.0,Townhouse, New Cairo City,30.06310285,31.45544747510749
4,4,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",307,6600000, Cairo,Egypt,buy,103818000.0,Townhouse, New Cairo City,30.06310285,31.45544747510749
3,3,"The Courtyards, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",267,5355000, Giza,Egypt,buy,84234150.0,Townhouse, Sheikh Zayed City,30.048347,30.9832235
4,5,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",301,4900000, Cairo,Egypt,buy,77077000.0,Duplex, New Cairo City,30.06310285,31.45544747510749
2,2,"Al Riyadh Secon, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",120,2049000, Cairo,Egypt,buy,32230770.0,Apartment, New Cairo City,30.06310285,31.45544747510749
2,2,"Mangroovy Residence, Al Gouna, Hurghada, Red Sea",144,4000000, Red Sea,Egypt,buy,62920000.0,Apartment, Hurghada,30.0582499,31.3015861
3,4,"Al Patio 5, El Patio, El Shorouk Compounds, Shorouk City, Cairo",365,5200000, Cairo,Egypt,buy,81796000.0,Townhouse, Shorouk City,0.0,0.0
1,1,"The Groove, Al Ain Al Sokhna, Suez",75,1250000, Suez,Egypt,buy,19662500.0,Chalet, Al Ain Al Sokhna,30.0742818,31.54437395381909
3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",186,3250000, Cairo,Egypt,buy,51122500.0,Apartment, New Cairo City,30.06310285,31.45544747510749
4,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",360,5500000, Cairo,Egypt,buy,86515000.0,Townhouse, New Cairo City,30.06310285,31.45544747510749
4,4,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",311,5700000, Cairo,Egypt,buy,89661000.0,Townhouse, New Cairo City,30.06310285,31.45544747510749
